"","Date","Price"
"5794","2020-01-22",1.89
"5795","2020-01-23",1.95
"5796","2020-01-24",1.91
"5797","2020-01-27",2.03
"5798","2020-01-28",1.96
"5799","2020-01-29",1.93
"5800","2020-01-30",1.94
"5801","2020-01-31",1.91
"5802","2020-02-03",1.9
"5803","2020-02-04",1.89
"5804","2020-02-05",1.89
"5805","2020-02-06",1.86
"5806","2020-02-07",1.93
"5807","2020-02-10",1.85
"5808","2020-02-11",1.85
"5809","2020-02-12",1.91
"5810","2020-02-13",1.95
"5811","2020-02-14",1.93
"5812","2020-02-17",1.93
"5813","2020-02-18",2.04
